kecamatan;kabupaten
Muara Jawa;Kutai Kartanegara
Leuwimunding;Majalengka
Pandih Batu;Pulang Pisau
Lintang Kanan;Empat Lawang
Palaran;Samarinda
Melaya;Jembrana
Mumbulsari;Jember
Palas;Lampung Selatan
Pandrah;Bireuen
Miomaffo Tengah (Miomafo Tengah);Timor Tengah Utara
Mandiangin;Sarolangun
Nibung Hangus;Batu Bara
Lintau Buo;Tanah Datar
Muara Jaya;Ogan Komering Ulu
Maladum Mes;Sorong
Malaimsimsa;Sorong
Ngampilan;Yogyakarta
Meliau;Sanggau
Lintau Buo Utara;Tanah Datar
Palasa;Parigi Moutong
Malaka Barat;Malaka
Leuwisadeng;Bogor
Mandiangin Koto Selayan;Bukittinggi
Lintong Nihuta;Humbang Hasundutan
Miomaffo Timur (Miomafo Timur);Timor Tengah Utara
Muara Kaman;Kutai Kartanegara
Malaka Tengah;Malaka
Muncang;Lebak
Melinting;Lampung Timur
Lio Timur;Ende
Ngamprah;Bandung Barat
Panei;Simalungun
Palasah;Majalengka
Nikiwar;Teluk Wondama
Mandiangin Timur;Sarolangun
Panekan;Magetan
Leuwisari;Tasikmalaya
Paleleh;Buol
Melonguane;Kepulauan Talaud
Muara Kelingi;Musi Rawas
Miri;Sragen
Ngancar;Kediri
Malaka Timur;Malaka
Miri Manasa;Gunung Mas
Paleleh Barat;Buol
Lirik;Indragiri Hulu
Lewa;Sumba Timur
Muara Kemumu;Kepahiang
Malalak (Malakak);Agam
Palembayan (Pelembayan);Agam
Nganjuk;Nganjuk
Malalayang;Manado
Palengaan (Palenggaan, Palenga'an);Pamekasan
Malangbong;Garut
Manding;Sumenep
Malangke;Luwu Utara
Panga (Keude Panga);Aceh Jaya
Malangke Barat;Luwu Utara
Muara Komam;Paser
Malausma;Majalengka
Paleteang;Pinrang
Nikogwe;Lanny Jaya
Mangkutana;Luwu Timur
Ngantang;Malang
Maleber;Kuningan
Pangale;Mamuju Tengah
Mandioli Selatan;Halmahera Selatan
Pangalengan;Bandung
Morosi;Konawe
Palibelo;Bima
Nimbokrang;Jayapura
Malifut;Halmahera Utara
Morotai Jaya;Pulau Morotai
Mangoli Barat;Kepulauan Sula
Maligano;Muna
Pangandaran;Pangandaran
Morotai Selatan;Pulau Morotai
Mangoli Selatan;Kepulauan Sula
Nimboran;Jayapura
Pangarengan;Sampang
Muara Kuang;Ogan Ilir
Mangoli Tengah;Kepulauan Sula
Palimanan;Cirebon
Maliku;Pulang Pisau
Pangaribuan;Tapanuli Utara
Morotai Selatan Barat;Pulau Morotai
Malili;Luwu Timur
Morotai Timur;Pulau Morotai
Malimbong Balepe;Tana Toraja
Morotai Utara;Pulau Morotai
Muncar;Banyuwangi
Moskona Barat;Teluk Bintuni
Niname;Lanny Jaya
Moskona Selatan;Teluk Bintuni
Malin Deman;Muko Muko
Pangatikan;Garut
Moskona Timur;Teluk Bintuni
Mangoli Timur;Kepulauan Sula
Pangean;Kuantan Singingi
Ninati;Boven Digoel
Malinau Barat;Malinau
Ngantru;Tulungagung
Mangoli Utara;Kepulauan Sula
Mirit;Kebumen
Pangenan;Cirebon
Muara Lakitan;Musi Rawas
Lewa Tidahu;Sumba Timur
Panggang;Gunungkidul
Palipi;Samosir
Moskona Utara;Teluk Bintuni
Mangoli Utara Timur;Kepulauan Sula
Melonguane Timur;Kepulauan Talaud
Mandioli Utara;Halmahera Selatan
Malinau Kota;Malinau
Mundu;Cirebon
Misool (Misool Utara);Raja Ampat
Muara Lawa;Kutai Barat
Moswaren;Sorong Selatan
Paliyan;Gunungkidul
Lewolema;Flores Timur
Moti;Ternate
Ngapa;Kolaka Utara
Meluhu;Konawe
Ninia;Yahukimo
Panggarangan;Lebak
Palmatak;Kepulauan Anambas
Manguharjo;Madiun
Mandiraja;Banjarnegara
Panggema;Yahukimo
Motoling;Minahasa Selatan
Muara Muntai;Kutai Kartanegara
Mungka;Lima Puluh Kota
Misool Barat;Raja Ampat
Malinau Selatan;Malinau
Nioga;Puncak Jaya
Ngaras (Bengkunat Belimbing);Pesisir Barat
Membalong;Belitung
Panggul;Trenggalek
Paloh;Sambas
Mungkajang;Palopo
Motoling Barat;Minahasa Selatan
Muara Padang;Banyuasin
Malinau Selatan Hilir;Malinau
Panggungrejo;Blitar
Palolo;Sigi
Madang Suku II;Ogan Komering Ulu Timur
Motoling Timur;Minahasa Selatan
Nipah Panjang;Tanjung Jabung Timur
Panggungrejo;Pasuruan
Lhoknga (Lho'nga);Aceh Besar
Ngargoyoso;Karanganyar
Mungkid;Magelang
Membey;Pegunungan Arfak
Palu Barat;Palu
Mangunjaya;Pangandaran
Malinau Selatan Hulu;Malinau
Muara Pahu;Kutai Barat
Misool Selatan;Raja Ampat
Pangkah;Tegal
Mandirancan;Kuningan
Madang Suku III;Ogan Komering Ulu Timur
Nipsan;Yahukimo
Palu Selatan;Palu
Mempawah Hilir;Mempawah
Munjul;Pandeglang
Ngariboyo;Magetan
Pangkajene;Pangkajene Kepulauan
Lhoksukon;Aceh Utara
Mandobo;Boven Digoel
Misool Timur;Raja Ampat
Mangunreja;Tasikmalaya
Palu Timur;Palu
Nirkuri;Nduga
Muara Papalik;Tanjung Jabung Barat
Pangkal Balam;Pangkal Pinang
Ngaringan;Grobogan
Madapangga;Bima
Maniamolo;Nias Selatan
Mandolang;Minahasa
Munjungan;Trenggalek
Palu Utara;Palu
Pangkalan;Karawang
Nirunmas;Kepulauan Tanimbar (Maluku Tenggara Barat)
Muara Pawan;Ketapang
Miyah;Tambrauw
Munte;Karo
Palue;Sikka
Madat;Aceh Timur
Pangkalan Banteng;Kotawaringin Barat
Mempawah Hulu;Landak
Pangkalan Baru;Bangka Tengah
Madidir (Bitung Tengah);Bitung
Nisam;Aceh Utara
Maniangpajo;Wajo
Ngasem;Bojonegoro
Nisam Antara;Aceh Utara
Mandonga;Kendari
Maniis;Purwakarta
Muara Pinang;Empat Lawang
Muntilan;Magelang
Nita;Sikka
Palupuh;Agam
Manimeri;Teluk Bintuni
Pangkalan Jambu;Merangin
Murhum;Bau Bau
Payakumbuh Utara;Payakumbuh
Pangkalan Kerinci;Pelalawan
Mandor;Landak
Oebobo;Kupang
Manis Mata;Ketapang
Ngasem;Kediri
Noebana;Timor Tengah Selatan
Nalumsari;Jepara
Muara Sabak Barat;Tanjung Jabung Timur
Motongkad;Bolaang Mongondow Timur
Murkim;Pegunungan Bintang
Payangan;Gianyar
Ngawen;Gunungkidul
Malinau Utara;Malinau
Pangkalan Koto Baru;Lima Puluh Kota
Oenino;Timor Tengah Selatan
Manisrenggo;Klaten
Motui;Konawe Utara
Panyipatan;Tanah Laut
Pangkalan Kuras;Pelalawan
Malind;Merauke
Muara Sabak Timur;Tanjung Jabung Timur
Noebeba;Timor Tengah Selatan
Moutong;Parigi Moutong
Payaraman;Ogan Ilir
Ngawen;Blora
Muruk Rian;Tana Tidung
Mowewe;Kolaka Timur
Manna;Bengkulu Selatan
Muara Sahung;Kaur
Naman Teran (Nama Teran);Karo
Pangkalan Lada;Kotawaringin Barat
Ngawen;Klaten
Ogamanim;Puncak
Noemuti;Timor Tengah Utara
Malingping;Lebak
Murung;Murung Raya
Papalang;Mamuju
Pangkalan Lampam;Ogan Komering Ilir
Payung;Bangka Selatan
Mandrehe;Nias Barat
Pangkalan Lesung;Pelalawan
Mowila;Konawe Selatan
Noemuti Timur;Timor Tengah Utara
Namang;Bangka Tengah
Pamanukan;Subang
Moyo Hilir;Sumbawa
Pangkalan Susu;Langkat
Muara Samu;Paser
Papar;Kediri
Metro Barat;Metro
Pangkatan;Labuhanbatu
Pamarayan;Serang
Malllawa (Mallawa);Maros
Nogi;Lanny Jaya
Ogodeide;Toli Toli
Mandrehe Barat;Nias Barat
Mannem;Keerom
Payung;Karo
Ngawi;Ngawi
Pangkur;Ngawi
Metro Kibang;Lampung Timur
Parado;Bima
Muara Satu;Lhokseumawe
Nogosari;Boyolali
Moyo Hulu;Sumbawa
Manokwari Barat;Manokwari
Nambluong;Jayapura
Mallusetasi;Barru
Nokilalaki;Sigi
Moyo Utara;Sumbawa
Pamarican;Ciamis
Manokwari Selatan;Manokwari
Oheo;Konawe Utara
Malo;Bojonegoro
Mandrehe Utara;Nias Barat
Nonggunong;Sumenep
Parakan;Temanggung
Manokwari Timur;Manokwari
Payung Sekaki;Pekanbaru
Nongme;Pegunungan Bintang
Malua;Enrekang
Panguragan;Cirebon
Ok Aom;Pegunungan Bintang
Pamatang Sidamanik (Pematang Sidamanik);Simalungun
Maluk;Sumbawa Barat
Nongsa;Batam
Ngebel;Ponorogo
Parakansalak (Parakan Salak);Sukabumi
Malunda;Majene
Pangururan;Samosir
Manduamas;Tapanuli Tengah
Moyudan;Sleman
Nosu;Mamasa
Payung Sekaki;Solok
Mam;Nduga
Pamatang Silima Huta (Pematang);Simalungun
Paramasan (Peramasan);Banjar
Metro Pusat;Metro
Ngemplak;Sleman
Okaba;Merauke
Pamboang;Majene
Pebayuran;Bekasi
Mane;Pidie
Mamajang;Makassar
Parang;Magetan
Pamek;Pegunungan Bintang
Mpunda;Bima
Nambo;Banggai
Manokwari Utara;Manokwari
Okbab;Pegunungan Bintang
Noyan;Sanggau
Metro Selatan;Metro
Muara Siau;Merangin
Manonjaya;Tasikmalaya
Pecalungan;Batang
Metro Timur;Metro
Nuangan;Bolaang Mongondow Timur
Mpur;Tambrauw
Nambo;Kendari
Mantang;Bintan
Pecangaan;Jepara
Nubatukan;Lembata
Pamekasan;Pamekasan
Nuha;Luwu Timur
Okbape;Pegunungan Bintang
Muara Sipongi;Mandailing Natal
Nuhon;Banggai
Pamenang;Merangin
Paniai Barat;Paniai
Pamenang Barat;Merangin
Paniai Timur;Paniai
Muara Sugihan;Banyuasin
Panimbang;Pandeglang
Manekar;Tambrauw
Paninggaran;Pekalongan
Paranggupito;Wonogiri
Pamenang Selatan;Merangin
Panjalu;Ciamis
Percut Sei Tuan;Deli Serdang
Pameungpeuk;Bandung
Namlea;Buru
Panjang;Bandar Lampung
Padang Hilir;Tebing Tinggi
Pedamaran;Ogan Komering Ilir
Panjatan;Kulon Progo
Pergetteng Getteng Sengkut;Pakpak Bharat
Panji;Situbondo
Paranginan;Humbang Hasundutan
Padang Hulu;Tebing Tinggi
Passue;Mappi
Muara Sungkai;Lampung Utara
Pasawahan;Purwakarta
Okbemtau;Pegunungan Bintang
Panombeian Panei / Pane;Simalungun
Pameungpeuk;Garut
Pedamaran Timur;Ogan Komering Ilir
Panongan;Tangerang
Passue Bawah;Mappi
Parangloe;Gowa
Perhentian Raja;Kampar
Pantai Barat;Sarmi
Muara Tabir;Tebo
Pontianak Tenggara;Pontianak
Pantai Baru;Rote Ndao
Manganitu;Kepulauan Sangihe
Numba;Tolikara
Padang Jaya;Bengkulu Utara
Muara Tami;Jayapura
Patampanua;Pinrang
Pasean;Pamekasan
Ngemplak;Boyolali
Pantai Cermin;Solok
Periuk;Tangerang
Okbibab;Pegunungan Bintang
Manganitu Selatan;Kepulauan Sangihe
Padang Laweh;Dharmasraya
Ngetos;Nganjuk
Pedan;Klaten
Pontianak Timur;Pontianak
Pantai Cermin;Serdang Bedagai
Permata;Bener Meriah
Namo Rambe (Namorambe);Deli Serdang
Nume;Puncak Jaya
Padang Panjang Barat;Padang Panjang
Okhika;Pegunungan Bintang
Patamuan;Padang Pariaman
Pamijahan;Bogor
Pontianak Utara;Pontianak
Pedes;Karawang
Pantai Kasuari;Asmat
Permata Intan;Murung Raya
Nggaha Ori Angu (Nggaha Oriangu);Sumba Timur
Pantai Labu;Deli Serdang
Namohalu Esiwa;Nias Utara
Muara Telang;Banyuasin
Padang Panjang Timur;Padang Panjang
Patangkep Tutui;Barito Timur
Parbuluan;Dairi
Paminggir;Hulu Sungai Utara
Poom;Kepulauan Yapen
Numfor Barat;Biak Numfor
Mangarabombang (Mangara Bombang);Takalar
Oklip;Pegunungan Bintang
Murung Pudak;Tabalong
Permata Kecubung;Sukamara
Paseh;Bandung
Pedongga;Pasangkayu (Mamuju Utara)
Popayato;Pahuwato
Pardasuka;Pringsewu
Pesanggaran;Banyuwangi
Pantai Lunci;Sukamara
Ngguti;Merauke
Namrole;Buru Selatan
Paseh;Sumedang
Patani;Halmahera Tengah
Muara Tembesi;Batanghari
Pesanggrahan;Jakarta Selatan
Pantai Timur;Sarmi
Pedurungan;Semarang
Mangaran;Situbondo
Popayato Barat;Pahuwato
Pare;Kediri
Ngimbang;Lamongan
Pasekan;Indramayu
Oksamol;Pegunungan Bintang
Musaik;Yahukimo
Patani Barat;Halmahera Tengah
Pesantren;Kediri
Pegagan Hilir;Dairi
Musatfak;Jayawijaya
Popayato Timur;Pahuwato
Muara Tiga;Pidie
Nan Sabaris;Padang Pariaman
Patani Timur;Halmahera Tengah
Pesisir Bukit;Sungai Penuh
Manggala;Makassar
Parengan;Tuban
Musi;Timor Tengah Utara
Padang Ratu;Lampung Tengah
Manggalewa;Dompu
Pantai Timur Bagian Barat;Sarmi
Pasema;Yahukimo
Oksebang;Pegunungan Bintang
Nglegok;Blitar
Popugoba;Jayawijaya
Parenggean;Kotawaringin Timur
Pammana;Wajo
Pesisir Selatan;Pesisir Barat
Nanaet Duabesi;Belu
Manggar;Belitung Timur
Numfor Timur;Biak Numfor
Padang Sago;Padang Pariaman
Pantan Cuaca;Gayo Lues
Pegajahan;Serdang Bedagai
Pasemah Air Keruh;Empat Lawang
Patani Utara;Halmahera Tengah
Pariaman Selatan;Pariaman
Pesisir Tengah;Pesisir Barat
Nglipar;Gunungkidul
Nunbena;Timor Tengah Selatan
Porehu;Kolaka Utara
Oksibil;Pegunungan Bintang
Pantar;Alor
Paser Belengkong (Pasir Belengkong);Paser
Nanga Mahap;Sekadau
Padang Selatan;Padang
Pegandon;Kendal
Pesisir Utara;Pesisir Barat
Pataruman;Banjar
Oksop;Pegunungan Bintang
Porong;Sidoarjo
Pantar Barat;Alor
Pamona Barat;Poso
Pegantenan;Pamekasan
Pasi Kolaga;Muna
Omben;Sampang
Peso;Bulungan
Porsea;Toba
Muara Uya;Tabalong
Pariaman Tengah;Pariaman
Peso Hilir (Ilir);Bulungan
Pegasing;Aceh Tengah
Portibi;Padang Lawas Utara
Manggelum;Boven Digoel
Nunggawi;Tolikara
Petak Malai;Katingan
Pamona Puselemba;Poso
Pariaman Timur;Pariaman
Padang Tiji;Pidie
Ngluwar;Magelang
Omesuri;Lembata
Posigadan;Bolaang Mongondow Selatan
Patean;Kendal
Manggeng;Aceh Barat Daya
Pasi Raja (Pasie Raja);Aceh Selatan
Pariaman Utara;Pariaman
Mustikajaya (Mustika Jaya);Bekasi
Muara Wahau;Kutai Timur
Pasie Raya;Aceh Jaya
Pejagoan;Kebumen
Patebon;Kendal
Pamona Selatan;Poso
Padang Timur;Padang
Nunkolo;Timor Tengah Selatan
Nanga Pinoh;Melawi
Pamona Tenggara;Poso
Petanahan;Kebumen
Musuk;Boyolali
Omukia;Puncak
Manggis;Karangasem
Poso Kota;Poso
Pati;Pati
Pasilambena;Kepulauan Selayar
Nunukan;Nunukan
Pariangan;Tanah Datar
Padang Tualang;Langkat
Mutiara;Pidie
Pejarakan (Pajarakan);Probolinggo
Petang;Badung
Nanga Taman;Sekadau
Pasimarannu;Kepulauan Selayar
Poso Kota Selatan;Poso
Onan Ganjang;Humbang Hasundutan
Patia;Pandeglang
Pasimasunggu (Pasimassunggu);Kepulauan Selayar
Pejawaran;Banjarnegara
Padang Ulak Tanding;Rejang Lebong
Nanga Tayap;Ketapang
Petarukan;Pemalang
Nunukan Selatan;Nunukan
Onan Runggu;Samosir
Pasimasunggu Timur;Kepulauan Selayar
Poso Kota Utara;Poso
Parigi;Gowa
Padang Utara;Padang
Pekaitan;Rokan Hilir
Nangapanda;Ende
Petasia;Morowali Utara
Mutiara Timur;Pidie
Pasir Limau Kapas;Rokan Hilir
Patianrowo;Nganjuk
Parigi;Parigi Moutong
Poso Pesisir;Poso
Pantar Baru Laut;Alor
Onembute;Konawe
Petasia Barat;Morowali Utara
Nurussalam;Aceh Timur
Muting;Merauke
Petasia Timur;Morowali Utara
Pekalipan;Cirebon
Patikraja;Banyumas
Poso Pesisir Selatan;Poso
Nangaroro;Nagekeo
Pantar Tengah;Alor
Padangan;Bojonegoro
Parigi;Muna
Peterongan;Jombang
Poso Pesisir Utara;Poso
Oneri;Puncak
Nusa Laut;Maluku Tengah
Petir;Serang
Pekalongan;Lampung Timur
Poto Tano;Sumbawa Barat
Padangguni;Konawe
Parigi;Pangandaran
Mutis;Timor Tengah Utara
Pasir Penyu;Indragiri Hulu
Ongka Malino;Parigi Moutong
Patilanggio;Pahuwato
Prabumulih Barat;Prabumulih
Nusa Penida (Nusapenida);Klungkung
Prabumulih Selatan;Prabumulih
Pekalongan Barat;Pekalongan
Patimpeng;Bone
Prabumulih Timur;Prabumulih
Onohazumba;Nias Selatan
Nusa Tabukan;Kepulauan Sangihe
Pasir Putih;Muna
Patimuan;Cilacap
Pekalongan Selatan;Pekalongan
Ngluyu;Nganjuk
Prabumulih Utara;Prabumulih
Muye;Paniai
Muara Wis;Kutai Kartanegara
Parigi Barat;Parigi Moutong
Pasir Putih;Nduga
Nusaherang;Kuningan
Pamona Timur;Poso
Nanggala;Toraja Utara
Padangsidimpuan Angkola Julu;Padangsidimpuan
Mangkubumi;Tasikmalaya
Onolalu;Nias Selatan
Pracimantoro;Wonogiri
Pamona Utara;Poso
Pekalongan Timur;Pekalongan
Pasir Sakti;Lampung Timur
Ngombol;Purworejo
Parigi Selatan;Parigi Moutong
Petungkriyono (Petungkriono);Pekalongan
Pamotan;Rembang
Padangsidimpuan Batunadua;Padangsidimpuan
Nanggalo;Padang
Muaragembong (Muara Gembong);Bekasi
Pasirian;Lumajang
Oransbari;Manokwari Selatan
Prafi;Manokwari
Parigi Tengah;Parigi Moutong
Pasirjambu;Bandung
Nanggulan;Kulon Progo
Ngoro;Jombang
Peudada;Bireuen
Parigi Utara;Parigi Moutong
Pampangan;Ogan Komering Ilir
Padangsidimpuan Hutaimbaru;Padangsidimpuan
Pamukan Barat;Kotabaru
Oridek;Biak Numfor
Pragaan;Sumenep
Parindu;Sanggau
Pasirkuda;Cianjur
Orkeri;Biak Numfor
Peudawa;Aceh Timur
Muarapayang;Lahat
Pekalongan Utara;Pekalongan
Pasirwangi;Garut
Pamukan Selatan;Kotabaru
Orong Telu;Sumbawa
Prajekan;Bondowoso
Pamukan Utara;Kotabaru
Pekanbaru Kota;Pekanbaru
Peukan Bada;Aceh Besar
Mubrani;Tambrauw
Nanggung;Bogor
Pasongsongan;Sumenep
Pamulang;Tangerang Selatan
Pekat;Dompu
Mugi;Nduga
Nanusa;Kepulauan Talaud
Pekuncen;Banyumas
Napabalano;Muna
Pamulihan;Garut
Patokbeusi;Subang
Pasrepan;Pasuruan
Pamulihan;Sumedang
Na IX - X (Na IX-X);Labuhanbatu Utara
Prajuritkulon (Prajurit Kulon);Mojokerto
Mugi;Yahukimo
Nusaniwe (Nusanive);Ambon
Pekutatan;Jembrana
Padangsidimpuan Selatan;Padangsidimpuan
Pana;Mamasa
Napal Putih;Bengkulu Utara
Prambanan;Sleman
Panaga;Tolikara
Padangsidimpuan Tenggara;Padangsidimpuan
Patrang;Jember
Paringin;Balangan
Prambanan;Klaten
Nusawani;Kepulauan Yapen
Pelaihari;Tanah Laut
Peukan Baro;Pidie
Patrol;Indramayu
Panai Hilir;Labuhanbatu
Paringin Selatan;Balangan
Nabire;Nabire
Nusawungu;Cilacap
Panai Hulu;Labuhanbatu
Padangsidimpuan Utara;Padangsidimpuan
Napan;Nabire
Ngoro;Mojokerto
Prambon;Nganjuk
Oudate;Waropen
Peulimbang (Plimbang);Bireuen
Pantar Timur;Alor
Pelalawan;Pelalawan
Padarincang;Serang
Pante Bidari;Aceh Timur
Napano Kusambi;Muna Barat
Pasrujambe (Pasujambe);Lumajang
Nabire Barat;Nabire
Paal Dua;Manado
Prambon;Sidoarjo
Panai Tengah;Labuhanbatu
Nyalindung;Sukabumi
Peunaron;Aceh Timur
Pelangiran;Indragiri Hilir
Passi Barat;Bolaang Mongondow
Napua;Jayawijaya
Praya;Lombok Tengah
Parittiga;Bangka Barat
Peundeuy;Garut
Ngraho;Bojonegoro
Paal Merah;Jambi
Passi Timur;Bolaang Mongondow
Panakkukang;Makassar
Pelawan;Sarolangun
Peureulak;Aceh Timur
Panang Enim;Muara Enim
Praya Barat;Lombok Tengah
Naringgul;Cianjur
Ngrambe;Ngawi
Nabunage;Tolikara
Padas;Ngawi
Pariwari;Fak Fak
Nyuatan;Kutai Barat
Panarukan;Situbondo
Muko-muko Bathin VII;Bungo
Pabean Cantian (Pabean Cantikan);Surabaya
Panawangan;Ciamis
Pelayangan;Jambi
Praya Barat Daya;Lombok Tengah
Pademangan;Jakarta Utara
Pabedilan;Cirebon
Pante Ceureumen (Pantai Ceuremen);Aceh Barat
Praya Tengah;Lombok Tengah
Naga Juang;Mandailing Natal
Pelebaga;Jayawijaya
Ngrampal;Sragen
Pademawu;Pamekasan
Panteraja;Pidie Jaya
Pabelan;Semarang
Praya Timur;Lombok Tengah
Narmada;Lombok Barat
Parlilitan;Humbang Hasundutan
Panca Jaya;Mesuji
O'o'u (Oou);Nias Selatan
Pelepat;Bungo
Ngrayun;Ponorogo
Naga Wutung;Lembata
Panti;Jember
Panca Lautang;Sidenreng Rappang
Pattalasang (Pattallassang);Gowa
Panca Rijang;Sidenreng Rappang
Nagrak;Sukabumi
Oba;Tidore Kepulauan
Ngronggot;Nganjuk
Parmaksian;Toba
Rantau;Aceh Tamiang
Pattallassang (Patallassang);Takalar
Pancalang;Kuningan
Peureulak Barat;Aceh Timur
Pelepat Ilir;Bungo
Nagreg;Bandung
Padua;Merauke
Parmonangan;Tapanuli Utara
Rantau Alai;Ogan Ilir
Peling Tengah;Banggai Kepulauan
Prembun;Kebumen
Paro;Nduga
Peureulak Timur;Aceh Timur
Oba Selatan;Tidore Kepulauan
Padureso;Kebumen
Paron;Ngawi
Patuk;Gunungkidul
Rantau Badauh;Barito Kuala
Pagentan;Banjarnegara
Pemahan;Ketapang
Panti;Pasaman
Peusangan;Bireuen
Naibenu;Timor Tengah Utara
Pino Raya (Pinoraya);Bengkulu Selatan
Parongpong;Bandung Barat
Prigen;Pasuruan
Oba Tengah;Tidore Kepulauan
Pulau Banyak Barat;Aceh Singkil
Paberiwai;Sumba Timur
Paga;Sikka
Patumbak;Deli Serdang
Pagerageung;Tasikmalaya
Naikere;Teluk Wondama
Pauh;Sarolangun
Pinogaluman;Bolaang Mongondow Utara
Oba Utara;Tidore Kepulauan
Rantau Bayur;Banyuasin
Parung;Bogor
Rejoso;Pasuruan
Peusangan Selatan;Bireuen
Pemalang;Pemalang
Rejotangan;Tulungagung
Pringapus;Semarang
Panton Reu;Aceh Barat
Pabuaran;Serang
Pulau Batang Dua;Ternate
Rantau Kopar;Rokan Hilir
Pagerbarang;Tegal
Pagaden;Subang
Pauh;Padang
Pinogu;Bone Bolango
Peusangan Siblah Krueng;Bireuen
Rembang;Pasuruan
Rantau Pandan;Bungo
Pringgabaya;Lombok Timur
Rembang;Purbalingga
Parung Panjang;Bogor
Rantau Panjang;Ogan Ilir
Pinoh Selatan;Melawi
Obaa;Mappi
Piani;Tapin
Pemali;Bangka
Panumbangan;Ciamis
Pringgarata;Lombok Tengah
Pauh Duo;Solok Selatan
Pageruyung (Pagerruyung);Kendal
Rantau Peureulak (Ranto Peureulak);Aceh Timur
Panyabungan;Mandailing Natal
Pulau Beringin;Ogan Komering Ulu Selatan
Obi;Halmahera Selatan
Pabuaran;Cirebon
Panyabungan Barat;Mandailing Natal
Rembang;Rembang
Nasal;Kaur
Pinoh Utara;Melawi
Pemangkat;Sambas
Paya Bakong;Aceh Utara
Pagerwojo;Tulungagung
Nainggolan;Samosir
Pulau Besar (Pulaubesar);Bangka Selatan
Panyabungan Selatan;Mandailing Natal
Pinolosian;Bolaang Mongondow Selatan
Pringgasela;Lombok Timur
Obi Barat;Halmahera Selatan
Pabuaran;Subang
Pagimana;Banggai
Rantau Pulung;Kutai Timur
Nassau;Toba
Pulau Burung;Indragiri Hilir
Pagaden Barat;Subang
Parungkuda (Parung Kuda);Sukabumi
Panyabungan Timur;Mandailing Natal
Remboken;Minahasa
Payakumbuh;Lima Puluh Kota
Pematang Bandar;Simalungun
Rembon;Tana Toraja
Obi Selatan;Halmahera Selatan
Pulau Derawan;Berau
Natal;Mandailing Natal
Panyabungan Utara;Mandailing Natal
Pematang Jaya;Langkat
Renah Mendaluh;Tanjung Jabung Barat
Payakumbuh Barat;Payakumbuh
Pulau Dullah Selatan;Tual
Natar;Lampung Selatan
Renah Pamenang (Renah Pemenang);Merangin
Pematang Karau;Barito Timur
Rantau Rasau;Tanjung Jabung Timur
Pinolosian Tengah;Bolaang Mongondow Selatan
Pringkuku;Pacitan
Panyileukan;Bandung
Renah Pembarap;Merangin
Rantau Selamat;Aceh Timur
Obi Timur;Halmahera Selatan
Pabuaran;Sukabumi
Pulau Dullah Utara;Tual
Nakama;Paniai
Picung;Pandeglang
Panyingkiran;Majalengka
Rendang;Karangasem
Pringsewu;Pringsewu
Payakumbuh Selatan;Payakumbuh
Rantau Selatan;Labuhanbatu
Pinolosian Timur;Bolaang Mongondow Selatan
Obi Utara;Halmahera Selatan
Pidie;Pidie
Rengasdengklok;Karawang
Naukenjerai;Merauke
Rantau Utara;Labuhanbatu
Parungponteng;Tasikmalaya
Pulau Ende;Ende
Nalca;Yahukimo
Pematang Sawa;Tanggamus
Payakumbuh Timur;Payakumbuh
Pringsurat;Temanggung
Nawangan;Pacitan
Pagai Selatan;Kepulauan Mentawai
Pacar;Manggarai Barat
Rante Angin;Kolaka Utara
Obio;Yahukimo
Pasak Talawang;Kapuas
Pintu Pohan Meranti;Toba
Nalo Tantan (Nalo Tatan);Merangin
Pematang Tiga;Bengkulu Tengah
Rengat;Indragiri Hulu
Ndao Nuse;Rote Ndao
Rengat Barat;Indragiri Hulu
Pulau Gebe;Halmahera Tengah
Rengel;Tuban
Pasaleman;Cirebon
Pulau Gorom;Seram Bagian Timur
Pronggoli;Yahukimo
Pulung;Ponorogo
Reok;Manggarai
Pace;Nganjuk
Sail;Pekanbaru
Pintu Rime Gayo;Bener Meriah
Pulutan;Kepulauan Talaud
Pulau Hanaut;Kotawaringin Timur
Saipar Dolok Hole;Tapanuli Selatan
Rantebua;Toraja Utara
Pinu Pahar (Pinupahar / Pirapahar);Sumba Timur
Pemayung;Batanghari
Puncak Sorik Marapi;Mandailing Natal
Pagai Utara;Kepulauan Mentawai
Pulau Haruku;Maluku Tengah
Sajad;Sambas
Pasaman;Pasaman Barat
Rantebulahan Timur;Mamasa
Pipikoro;Sigi
Puncu;Kediri
Ndona;Ende
Pirak Timur;Aceh Utara
Sajingan Besar;Sambas
Pacet;Mojokerto
Sano Nggoang;Manggarai Barat
Piramid;Jayawijaya
Sajira;Lebak
Pirime;Lanny Jaya
Sajoanging;Wajo
Reok Barat;Manggarai
Sanrobone;Takalar
Saketi;Pandeglang
Reteh;Indragiri Hilir
Sako;Palembang
Rhee;Sumbawa
Pronojiwo;Lumajang
Santian;Timor Tengah Selatan
Riau Silip;Bangka
Pagak;Malang
Sakra;Lombok Timur
Pulau Hiri;Ternate
Sakra Barat;Lombok Timur
Rikit Gaib;Gayo Lues
Pemenang;Lombok Utara
Saparua;Maluku Tengah
Rilauale (Rilau Ale);Bulukumba
Pija;Nduga
Pasan;Minahasa Tenggara
Sakra Timur;Lombok Timur
Pulau Kurudu;Kepulauan Yapen
Rantepao;Toraja Utara
Saparua Timur;Maluku Tengah
Pemulutan;Ogan Ilir
Rimba Melintang;Rokan Hilir
Rantetayo;Tana Toraja
Pundong;Bantul
